Date,Open,High,Low,Close,Adj Close,Volume
2019-06-25,1.890000,1.910000,1.800000,1.830000,1.830000,52753200
2019-06-26,1.880000,1.950000,1.840000,1.910000,1.910000,37996200
2019-06-27,1.890000,1.910000,1.860000,1.880000,1.880000,25231400
2019-06-28,1.930000,1.970000,1.900000,1.950000,1.950000,54714200
2019-07-01,2.050000,2.080000,1.930000,1.960000,1.960000,62554600
2019-07-02,1.950000,1.950000,1.850000,1.850000,1.850000,117111500
2019-07-03,1.910000,1.920000,1.830000,1.840000,1.840000,30928400
2019-07-05,1.850000,1.870000,1.800000,1.850000,1.850000,38572200
2019-07-08,1.840000,1.850000,1.800000,1.810000,1.810000,44958000
2019-07-09,1.800000,1.820000,1.760000,1.810000,1.810000,43713500
2019-07-10,1.830000,1.920000,1.820000,1.910000,1.910000,52430000
2019-07-11,1.910000,1.930000,1.880000,1.900000,1.900000,32042800
2019-07-12,1.910000,1.960000,1.890000,1.930000,1.930000,41096400
2019-07-15,1.930000,1.930000,1.830000,1.830000,1.830000,55407200
2019-07-16,1.830000,1.840000,1.760000,1.770000,1.770000,58215800
2019-07-17,1.790000,1.800000,1.700000,1.700000,1.700000,54306700
2019-07-18,1.710000,1.710000,1.570000,1.580000,1.580000,79232000
2019-07-19,1.610000,1.640000,1.570000,1.620000,1.620000,42778200
2019-07-22,1.640000,1.700000,1.600000,1.640000,1.640000,40991400
2019-07-23,1.650000,1.680000,1.620000,1.680000,1.680000,37356900
2019-07-24,1.670000,1.760000,1.670000,1.730000,1.730000,44547500
2019-07-25,1.760000,1.780000,1.680000,1.680000,1.680000,55856400
2019-07-26,1.690000,1.710000,1.620000,1.650000,1.650000,38567500
2019-07-29,1.650000,1.680000,1.590000,1.640000,1.640000,37244500
2019-07-30,1.630000,1.800000,1.590000,1.800000,1.800000,62120400
2019-07-31,1.820000,1.870000,1.770000,1.810000,1.810000,59981300
2019-08-01,1.780000,1.790000,1.620000,1.650000,1.650000,55688700
2019-08-02,1.690000,1.690000,1.630000,1.640000,1.640000,20545600
2019-08-05,1.590000,1.620000,1.510000,1.560000,1.560000,79462600
2019-08-06,1.650000,1.660000,1.380000,1.390000,1.390000,93901700
2019-08-07,1.360000,1.400000,1.260000,1.390000,1.390000,72131700
2019-08-08,1.420000,1.480000,1.390000,1.470000,1.470000,87454400
2019-08-09,1.460000,1.500000,1.410000,1.440000,1.440000,42325600
2019-08-12,1.430000,1.440000,1.370000,1.400000,1.400000,29552400
2019-08-13,1.380000,1.500000,1.370000,1.450000,1.450000,38499300
2019-08-14,1.400000,1.400000,1.320000,1.350000,1.350000,40106500
